START_TIME,Country,Operator,Unique Roamers,Active Roamers,Unique Roamer Per Country (%),DIAMETER Update Location Procedure Count,DIAMETER Update Location Success Ratio,DIAMETER Auth Info Procedure Count,DIAMETER Auth Info Success Ratio,DIAMETER Purge Procedure Count,DIAMETER Purge Success Ratio,GTPv1-C Create PDP Procedure Count,GTPv1-C Create PDP Success Ratio,GTPv2-C Create Session Procedure Count,GTPv2-Create Session Success Ratio,Total Data UL MB,Total Data DL MB,Data Volume 3G vs 4G,Average RTT mSec,HTTP Throughput DL Kbps,HTTP Throughput UL Kbps,Internet Performance,Average Video vMOS,DNS Success Ratio,GTPv1-C Create PDP Latency (msec),GTPv2-C Create Session Latency (msec),GTPv2-C Modify Bearer Procedure Count,GTPv2-C Modify Bearer Latency (msec),GTPv2-C Modify Bearer Success Ratio,GTPv2-C Create Bearer Procedure Count,GTPv2-C Create Bearer Latency (msec),GTPv1-C Update PDP Success Ratio,GTPv1-C Update PDP Procedure Count,GTPv1-C Update PDP Latency (msec),GTPv2-C Update Bearer Success Ratio,GTPv1-C Update Bearer Procedure Count,GTPv1-C Update Bearer Latency (msec),GTPv1-C Delete PDP Success Ratio,GTPv1-C Delete PDP Procedure Count,GTPv1-C Delete PDP Latency (msec),GTPv2-C Delete Session Success Ratio,GTPv2-C Delete Session Procedure Count,GTPv2-C Delete Session Latency (msec),GTPv2-C Delete Bearer Success Ratio,GTPv2-C Delete Bearer Procedure Count,GTPv2-C Delete Bearer Latency (msec),MAP Send Auth Info Success Ratio,MAP Send Authentication Info Procedure Count,MAP Send Authentication Info Latency (msec),MAP Update GPRS Location Success Ratio,MAP Update GPRS Location Procedure Count,MAP Update GPRS Location Latency (msec),GPRS MM Attach Success Ratio,GPRS MM Attach Procedure Count,GPRS MM Attach Latency (msec),MAP Update Location Success Ratio,MAP Update Location Procedure Count,MAP Update Location  Latency (msec),MAP Cancel Location Success Ratio,MAP Cancel Location Procedure Count,MAP Cancel Location Latency (msec),MAP Purge Success Ratio,MAP Purge Procedure Count,MAP Purge Latency (msec),DIAMETER Cancel Location Success Ratio,DIAMETER Auth Info Latency (msec),DIAMETER Purge Latency (msec),MAP MO Forward-SM Success Ratio,MAP MO Forward-SM Procedure Count,MAP MO Forward-SM Latency (msec),MAP Forward-SM Success Ratio,MAP Forward-SM Procedure Count,MAP Forward-SM Latency (msec),MAP MT Forward-SM Success Ratio,MAP MT Forward-SM Procedure Count,MAP MT Forward-SM Latency (msec),MT SRI for SM Success Ratio,MT SRI for SM Procedure Count,MT SRI for SM Latency (msec),Provide Roaming Number Success Ratio,Provide Roaming Number Procedure Count,Provide Roaming Number Latency (msec),Provide Subscriber Info Success Ratio,Provide Subscriber Info Procedure Count,Provide Subscriber Info Latency (msec),Internet Latency (msec),USSD Procedure Count,USSD Success Ratio,USSD Latency (msec),PUSSR Procedure Count,PUSSR Success Ratio,PUSSR Latency (msec),CAP Initial DP Procedure Count,CAP Initial DP Success Ratio,CAP Initial DP Latency (msec),MM Location Area Update Success Ratio,MM Location Area Update Procedure Count,MM Location Area Update Latency (msec),GMM Routing Area Update Success Ratio,GMM Routing Area Update Procedure Count,GMM Routing Area Update Latency (msec),GMM Combined RA LA Update Success Ratio,GMM Combined RA LA Update Procedure Count,GMM Combined RA LA Update Latency (msec),S1AP Attach Success Ratio,S1AP Attach Procedure Count,S1AP Attach Latency (msec),GTP-C Create Session Latency (msec),GTP-C Create Session Procedure Count,GTP-C Create Session Success Ratio,MAP Update Location UDTS Count,MAP Update Location UDTS Ratio,MAP Update GPRS Location UDTS Count,MAP Update GPRS Location UDTS Ratio,MAP Send Authentication Info UDTS Count,MAP Send Authentication Info UDTS Ratio,Video Streaming Playout Time,Effective Throughput DL (Kbps),Effective Throughput UL (Kbps),Peak Throughput DL (Kbps),Peak Throughput UL (Kbps),HTTP Success Ratio,Average TCP missing packet ratio DL,DIAMETER Notify Success Ratio,DIAMETER Notify Count,DIAMETER Notify Latency
2025-02-21 13:00:00.000,NEPAL,NEPAL DOORSANCHAR COMPANY LTD [S],11,0,0.846200000000000000,0,,0,,0,,0,,0,,0.0000,0.0000,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,100.000000000000000000,11,3212.000000000000000,100.000000000000000000,5,1461.000000000000000,,0,,100.000000000000000000,12,2560.000000000000000,100.000000000000000000,6,748.000000000000000,,0,,,,,,0,,,0,,75.000000000000000000,4,8713.000000000000000,100.000000000000000000,16,13.000000000000000,100.000000000000000000,1,881.000000000000000,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,0,0E-18,0,0E-18,0,0E-18,,,,,,,,,0,
2025-02-21 13:00:00.000,CAMEROON,ORANGE CAMEROUN [S],11,0,1.000000000000000000,1,100.000000000000000000,2,100.000000000000000000,0,,0,,3,100.000000000000000000,0.0000,0.0000,,,,,,,,,237.000000000000000,7,24.000000000000000,100.000000000000000000,0,,,0,,100.000000000000000000,6,1158.000000000000000,,0,,100.000000000000000000,4,3.000000000000000,,0,,100.000000000000000000,5,1949.000000000000000,,0,,,0,,100.000000000000000000,3,1568.000000000000000,,0,,,0,,,48.000000000000000,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,237.000000000000000,3,100.000000000000000000,0,0E-18,0,,0,0E-18,,,,,,,,,0,
2025-02-21 13:00:00.000,CHILE,CLARO CHILE SA [S],0,0,0E-18,0,,1,0E-18,0,,0,,0,,0.0000,0.0000,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,29.000000000000000,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,,,,,,,,,0,
2025-02-21 13:00:00.000,CHILE,ENTEL MOVIL,2,2,0.052600000000000000,0,,0,,0,,0,,0,,0.0000,0.0000,1.8900000000000000000000000000,140.000000000000000000000,,,83.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,100.000000000000000000,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,42.00000000000000000000,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,,,,,,0E-15,,,0,
2025-02-21 13:00:00.000,CHILE,ENTEL MOVIL [S],6,0,0.157900000000000000,4,100.000000000000000000,2,100.000000000000000000,0,,1,100.000000000000000000,3,100.000000000000000000,0.0000,0.0000,,,,,,,,192.000000000000000,221.000000000000000,13,13.000000000000000,100.000000000000000000,0,,100.000000000000000000,5,89.000000000000000,100.000000000000000000,4,1246.000000000000000,100.000000000000000000,2,170.000000000000000,100.000000000000000000,1,42.000000000000000,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,25.000000000000000,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,214.000000000000000,4,100.000000000000000000,0,,0,,0,,,,,,,,,,0,
2025-02-21 13:00:00.000,CHILE,ENTEL TELEFONIA MOVIL SA [S],6,0,0.157900000000000000,0,,0,,0,,0,,0,,0.0000,0.0000,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,100.000000000000000000,8,74.000000000000000,100.000000000000000000,5,1635.000000000000000,,0,,100.000000000000000000,2,2199.000000000000000,100.000000000000000000,1,704.000000000000000,,0,,,,,,0,,,0,,,0,,,0,,100.000000000000000000,1,813.000000000000000,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,0,0E-18,0,0E-18,0,0E-18,,,,,,,,,0,
2025-02-21 13:00:00.000,CHILE,TELEFONICA MOVIL DE CHILE S A,3,3,0.078900000000000000,0,,0,,0,,0,,0,,0.0000,0.0000,72.0200000000000000000000000000,292.000000000000000000000,,,71.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,100.000000000000000000,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,11.00000000000000000000,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,,54.406250000000000000000000000000000,147.097656250000000000000000000000000,,,0E-15,,,0,
2025-02-21 13:00:00.000,CHILE,TELEFONICA MOVIL DE CHILE S A [S],13,0,0.342100000000000000,8,100.000000000000000000,12,100.000000000000000000,0,,4,100.000000000000000000,20,100.000000000000000000,0.0000,0.0000,,,,,,,,241.000000000000000,332.000000000000000,15,20.000000000000000,100.000000000000000000,0,,100.000000000000000000,17,91.000000000000000,100.000000000000000000,3,351.000000000000000,71.428571428571428600,7,233.000000000000000,100.000000000000000000,4,1.000000000000000,100.000000000000000000,4,645.000000000000000,,0,,,0,,,0,,,0,,,0,,,0,,,47.000000000000000,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,316.000000000000000,24,100.000000000000000000,0,,0,,0,,,,,,,,,,0,
2025-02-21 13:00:00.000,CHILE,TELEFONICA MOVIL DE CHILE [S],8,0,0.210500000000000000,0,,0,,0,,0,,0,,0.0000,0.0000,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,100.000000000000000000,9,1752.000000000000000,100.000000000000000000,14,1570.000000000000000,,0,,100.000000000000000000,12,2353.000000000000000,100.000000000000000000,2,715.000000000000000,100.000000000000000000,6,28.000000000000000,,,,,0,,,0,,100.000000000000000000,2,1472.000000000000000,100.000000000000000000,4,13.000000000000000,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,0,0E-18,0,0E-18,0,0E-18,,,,,,,,,0,
2025-02-21 13:00:00.000,FINLAND,DNA FINLAND,342,342,0.349300000000000000,0,,0,,0,,0,,0,,127.0000,686.0000,0E-28,96.000000000000000000000,14128.000000000000000000000000000000000000000,,88.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4.025000000000000,86.250000000000000000,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,100.00000000000000000000,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,0,,0,,0,,1750.000000000000000,866.664583333333333335937500000000000,201.128619745080500890625000000000000,1929.869986979166666664062500000000000,259.416381835937500000000000000000000,0.731250000000000,0E-15,,0,
